Name,Rating,Description,ABV (%),IBU,Features,City,Country,Amount,Units,Category
Atomic IPA,4.5,Взрывной хмелевой аромат с нотами цитруса и хвои.,6.5,65,"цитрус, хвоя, сильная горечь",Москва,Россия,1,L,IPA
Velvet Stout,4.2,Мягкий овсяный стаут с кофейным послевкусием.,5.2,25,"кофе, шоколад, лактоза",Санкт-Петербург,Россия,2,ml,Stout
Summer Breeze,3.8,Легкое пшеничное пиво с добавлением цедры апельсина.,4.5,12,"цедра, кориандр, пшеница",Екатеринбург,Россия,3,bottles,Witbier
Midnight Porter,4.7,Плотный темный портер с копченым солодом.,7.0,35,"копченость, чернослив",Новосибирск,Россия,4,L,Porter
Golden Lager,3.5,Классический светлый лагер с чистым солодовым вкусом.,4.8,18,без добавок,Казань,Россия,5,ml,Lager
Raspberry Sour,4.4,Кислый эль с добавлением натурального пюре малины.,5.0,8,"малина, кислинка, без глютена",Краснодар,Россия,6,bottles,Sour
Imperial Dragon,4.9,Мощный двойной IPA для любителей экстремальной горечи.,8.5,110,"хмель, высокий алк.",Владивосток,Россия,7,L,Double IPA
Honey Dew,4.1,Медовое пиво с мягким цветочным ароматом.,5.5,15,"мед, аллерген: продукты пчеловодства",Алматы,Россия,8,ml,Honey Ale
Baltic Night,4.3,Крепкий балтийский портер с винными оттенками.,9.0,40,"сухофрукты, согревающий эффект",Калининград,Россия,9,bottles,Baltic Porter
Forest Trip,4.0,Хвойный эль с добавлением веток ели и можжевельника.,6.0,45,"хвоя, можжевельник, лесной аромат",Пермь,Россия,10,L,Herb Beer
Easy Day,3.2,Сессионный эль с низким содержанием алкоголя.,3.5,20,"легкое, питкое",Н. Новгород,Россия,11,ml,Session Ale
Chocolate Factory,4.6,Десертный стаут с ярко выраженным вкусом какао.,6.8,30,"шоколад, ваниль",Тула,Россия,12,bottles,Pastry Stout
Sea Salt Gose,3.9,Немецкий стиль с морской солью и кориандром.,4.2,10,"соль, кориандр",Сочи,Россия,13,L,Gose
Old Bridge,3.7,Классический английский биттер с карамельным вкусом.,4.4,32,"карамель, хлеб",Воронеж,Россия,14,ml,Bitter
Wild Cherry,4.5,Бельгийский крик с выдержкой на свежей вишне.,6.2,15,"вишня, дикие дрожжи",Брюссель,Россия,15,bottles,Lambic
Turbo Diesel,4.8,Черный IPA: сочетание жженого солода и яркого хмеля.,7.5,85,"жженка, цитрус",Тюмень,Россия,16,L,Black IPA
Mountain Peak,4.1,Американский бледный эль с ароматом манго.,5.4,40,"манго, тропические фрукты",Сочи,Россия,17,ml,APA
Silent Hill,4.4,Дымное пиво (Раухбир) на буковой щепе.,5.1,22,"дым, бекон",Самара,Россия,18,bottles,Rauchbier
Pumpkin Pie,3.6,Сезонный тыквенный эль с пряностями.,6.0,20,"тыква, корица, мускатный орех",Минск,Россия,19,L,Pumpkin Ale
Iron Fist,4.3,Крепкий бельгийский трипель с пряным профилем.,9.5,30,"пряности, высокий алк.",Антверпен,Россия,20,ml,Tripel
